accession	original_accession	description	length	taxonomy	organism	source
NC_005341.1	NC_005341.1	Mythimna loreyi densovirus, complete genome [Contaminant]	6034	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Densovirinae;Ambidensovirus;Lepidopteran ambidensovirus 1	Mythimna loreyi densovirus	Mythimna loreyi densovirus
NC_024451.1	NC_024451.1	Armadillidium vulgare iridescent virus complete genome [Contaminant]	220222	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Iridoviridae;Betairidovirinae;Iridovirus;Invertebrate iridescent virus 31	Armadillidium vulgare iridescent virus	Armadillidium vulgare iridescent virus
NC_023615.1	NC_023615.1	Invertebrate iridescent virus 22 isolate IIV22Aberystwyth complete genome [Contaminant]	196456	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Iridoviridae;Betairidovirinae;Chloriridovirus	Invertebrate iridescent virus 22	Invertebrate iridescent virus 22
NC_003038.1	NC_003038.1	Invertebrate iridescent virus 6, complete genome [Contaminant]	212482	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Iridoviridae;Betairidovirinae;Iridovirus	Invertebrate iridescent virus 6	Invertebrate iridescent virus 6 (IIV-6)
NC_023613.1	NC_023613.1	Invertebrate iridovirus 25 complete genome [Contaminant]	204815	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Iridoviridae;Betairidovirinae;Chloriridovirus	Invertebrate iridovirus 25	Invertebrate iridovirus 25
NC_015780.1	NC_015780.1	Wiseana iridescent virus, complete genome [Contaminant]	205791	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Iridoviridae;Betairidovirinae;Chloriridovirus;Invertebrate iridescent virus 9	Wiseana iridescent virus	Wiseana iridescent virus
NC_026652.1	NC_026652.1	Avon-Heathcote Estuary associated circular virus 24 isolate AHEaCV-24-NZ-2183TU-2913, complete genome [Contaminant]	2007	Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Cirlivirales;Circoviridae	Avon-Heathcote Estuary associated circular virus 24	Avon-Heathcote Estuary associated circular virus 24
NC_026625.1	NC_026625.1	Avon-Heathcote Estuary associated circular virus 3 isolate AHEaCV-3-NZ-3030C2-2012, complete genome [Contaminant]	2656	Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Cirlivirales;Circoviridae	Avon-Heathcote Estuary associated circular virus 3	Avon-Heathcote Estuary associated circular virus 3
NC_021248.1	NC_021248.1	Choristoneura biennis entomopoxvirus 'L', complete genome [Contaminant]	307691	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae;Entomopoxvirinae;Betaentomopoxvirus	Choristoneura biennis entomopoxvirus	Choristoneura biennis entomopoxvirus
NC_004830.2	NC_004830.2	Deformed wing virus, complete genome [Contaminant]	10140	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Iflaviridae;Iflavirus;Iflavirus aladeformis	Deformed wing virus	Deformed wing virus (DWV)
NC_023428.1	NC_023428.1	Dragonfly larvae associated circular virus-2 isolate DflaCV-2_NZ-PG8-LS, complete genome [Contaminant]	2398		Dragonfly larvae associated circular virus-2 Viruses.	Dragonfly larvae associated circular virus-2
NC_023429.1	NC_023429.1	Dragonfly larvae associated circular virus-3 isolate DflaCV-3_NZ-PG1-LG, complete genome [Contaminant]	2249		Dragonfly larvae associated circular virus-3 Viruses.	Dragonfly larvae associated circular virus-3
NC_023430.1	NC_023430.1	Dragonfly larvae associated circular virus-4 isolate DflaCV-4_NZ-PG3-LG, complete genome [Contaminant]	2121		Dragonfly larvae associated circular virus-4 Viruses.	Dragonfly larvae associated circular virus-4
JX997186.1	JX997186.1	Acanthocystis turfacea Chlorella virus TN603.4.2, partial genome [Contaminant]	320880	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;Chlorovirus	Acanthocystis turfacea Chlorella virus TN603.4.2	Acanthocystis turfacea Chlorella virus TN603.4.2 (ATCV-TN603.4.2)
JX997154.1	JX997154.1	Paramecium bursaria Chlorella virus AP110A, partial genome [Contaminant]	327349	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;Chlorovirus	Paramecium bursaria Chlorella virus AP110A	Paramecium bursaria Chlorella virus AP110A (PBCV-AP110A)
JX997157.1	JX997157.1	Paramecium bursaria Chlorella virus Can18-4, partial genome [Contaminant]	329890	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;Chlorovirus	Paramecium bursaria Chlorella virus Can18-4	Paramecium bursaria Chlorella virus Can18-4 (PBCV-Can18-4)
JX997160.1	JX997160.1	Paramecium bursaria Chlorella virus CVB-1, partial genome [Contaminant]	319457	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;Chlorovirus	Paramecium bursaria Chlorella virus CVB-1	Paramecium bursaria Chlorella virus CVB-1 (PBCV-CVB-1)
JX997161.1	JX997161.1	Paramecium bursaria Chlorella virus CVG-1, partial genome [Contaminant]	318742	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;Chlorovirus	Paramecium bursaria Chlorella virus CVG-1	Paramecium bursaria Chlorella virus CVG-1 (PBCV-CVG-1)
JX997163.1	JX997163.1	Paramecium bursaria Chlorella virus CVM-1, partial genome [Contaminant]	327107	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;Chlorovirus	Paramecium bursaria Chlorella virus CVM-1	Paramecium bursaria Chlorella virus CVM-1 (PBCV-CVM-1)
JX997164.1	JX997164.1	Paramecium bursaria Chlorella virus CVR-1, partial genome [Contaminant]	330002	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;Chlorovirus	Paramecium bursaria Chlorella virus CVR-1	Paramecium bursaria Chlorella virus CVR-1 (PBCV-CVR-1)
JX997166.1	JX997166.1	Paramecium bursaria Chlorella virus CZ-2, partial genome [Contaminant]	305715	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;Chlorovirus	Paramecium bursaria Chlorella virus CZ-2	Paramecium bursaria Chlorella virus CZ-2 (PBCV-CZ-2)
NC_008603.1	NC_008603.1	Paramecium bursaria Chlorella virus FR483, complete genome [Contaminant]	321240	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;Chlorovirus;Paramecium bursaria Chlorella virus A1	Paramecium bursaria Chlorella virus FR483	Paramecium bursaria Chlorella virus FR483
JX997167.1	JX997167.1	Paramecium bursaria Chlorella virus Fr5L, partial genome [Contaminant]	303810	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;Chlorovirus	Paramecium bursaria Chlorella virus Fr5L	Paramecium bursaria Chlorella virus Fr5L (PBCV-Fr5L)
DQ195162.1	DQ195162.1	Paramecium bursaria chlorella virus MT325 aquaglyceroporin gene, complete cds [Contaminant]	813	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;Chlorovirus;Paramecium bursaria Chlorella virus A1	Paramecium bursaria chlorella virus MT325	Paramecium bursaria chlorella virus MT325
JX997176.1	JX997176.1	Paramecium bursaria Chlorella virus NE-JV-1, partial genome [Contaminant]	326559	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;Chlorovirus	Paramecium bursaria Chlorella virus NE-JV-1	Paramecium bursaria Chlorella virus NE-JV-1 (PBCV-NE-JV-1)
JX997181.1	JX997181.1	Paramecium bursaria Chlorella virus NW665.2, partial genome [Contaminant]	325996	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;Chlorovirus	Paramecium bursaria Chlorella virus NW665.2	Paramecium bursaria Chlorella virus NW665.2 (PBCV-NW665.2)
JX997184.1	JX997184.1	Paramecium bursaria Chlorella virus OR0704.2.2, partial genome [Contaminant]	313584	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;Chlorovirus	Paramecium bursaria Chlorella virus OR0704.2.2	Paramecium bursaria Chlorella virus OR0704.2.2 (PBCV-OR0704.2.2)
NC_024697.1	NC_024697.1	Aureococcus anophagefferens virus isolate BtV-01, complete genome [Contaminant]	370920	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Schizomimiviridae;Kratosvirus;Kratosvirus quantuckense	Aureococcus anophagefferens virus	Aureococcus anophagefferens virus
NC_025707.1	NC_025707.1	Bacillariodnavirus LDMD-2013, complete genome [Contaminant]	5749	Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Baphyvirales;Bacilladnaviridae;Seawadnavirus;Seawadnavirus kuhtahan	Bacillariodnavirus LDMD-2013	Bacillariodnavirus LDMD-2013
NC_024477.1	NC_024477.1	McMurdo Ice Shelf pond-associated circular DNA virus-1 isolate alg49-15, complete genome [Contaminant]	2089		McMurdo Ice Shelf pond-associated circular DNA virus-1 Viruses.	McMurdo Ice Shelf pond-associated circular DNA virus-1
NC_024479.1	NC_024479.1	McMurdo Ice Shelf pond-associated circular DNA virus-3 isolate alg49-39, complete genome [Contaminant]	3120		McMurdo Ice Shelf pond-associated circular DNA virus-3 Viruses.	McMurdo Ice Shelf pond-associated circular DNA virus-3
NC_024481.1	NC_024481.1	McMurdo Ice Shelf pond-associated circular DNA virus-5 isolate alg49-117, complete genome [Contaminant]	2026		McMurdo Ice Shelf pond-associated circular DNA virus-5 Viruses.	McMurdo Ice Shelf pond-associated circular DNA virus-5
HQ704802.1	HQ704802.1	Organic Lake phycodnavirus 1 genomic sequence [Contaminant]	344723	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;environmental samples	Organic Lake phycodnavirus 1	Organic Lake phycodnavirus 1 (OLPV-1)
HQ704803.1	HQ704803.1	Organic Lake phycodnavirus 2 genomic sequence [Contaminant]	282077	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;environmental samples	Organic Lake phycodnavirus 2	Organic Lake phycodnavirus 2 (OLPV-2)
NC_014766.1	NC_014766.1	Ostreococcus lucimarinus virus OlV1, complete genome [Contaminant]	194022	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;Prasinovirus	Ostreococcus lucimarinus virus 1	Ostreococcus lucimarinus virus 1 (OlV1)
NC_021312.1	NC_021312.1	Phaeocystis globosa virus strain 16T, complete genome [Contaminant]	459984	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;Prymnesiovirus	Phaeocystis globosa virus	Phaeocystis globosa virus
KF008032.1	KF008032.1	Uncultured phycodnavirus clone 399-P7.13 DNA polymerase gene, partial cds [Contaminant]	671	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;environmental samples	uncultured phycodnavirus	uncultured phycodnavirus
EU889369.1	EU889369.1	Unknown phycodnavirus clone KBvp-16 DNA polymerase precursor, gene, partial cds [Contaminant]	1606	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae;environmental samples	unknown phycodnavirus	unknown phycodnavirus
NC_025411.1	NC_025411.1	Boiling Springs Lake RNA-DNA hybrid virus clone BSL_RDHV, complete genome [Contaminant]	4089	Viruses;environmental samples	Boiling Springs Lake RNA-DNA hybrid virus	Boiling Springs Lake RNA-DNA hybrid virus (BSL-RDHV)
NC_027196.1	NC_027196.1	CHIV14 isolate 1 putative capsid protein (cap) and putative replication protein (rep) genes, complete cds [Contaminant]	3141		Chimeric virus 14 Viruses.	Chimeric virus 14
NC_013025.1	NC_013025.1	Circovirus-like genome RW-C, complete genome [Contaminant]	1803		Circovirus-like genome RW-C Viruses.	Circovirus-like genome RW-C
NC_013027.1	NC_013027.1	Circovirus-like genome RW-E, complete genome [Contaminant]	2782		Circovirus-like genome RW-E Viruses.	Circovirus-like genome RW-E
NC_023843.1	NC_023843.1	Nepavirus isolate NepaV, complete genome [Contaminant]	2818		Nepavirus Viruses.	Nepavirus
NC_026187.1	NC_026187.1	Sewage-associated circular DNA molecule isolate SaCM-4_NZ_BS2920_2012, complete sequence [Contaminant]	1040	Viruses;unclassified Satellites;DNA satellites	Sewage-associated circular DNA molecule	Sewage-associated circular DNA molecule
NC_026143.1	NC_026143.1	Sewage-associated circular DNA molecule-3 isolate NZ-BS2940-2012, complete sequence [Contaminant]	1132	Viruses;unclassified Satellites;DNA satellites	Sewage-associated circular DNA molecule-3	Sewage-associated circular DNA molecule-3
NC_026258.1	NC_026258.1	Sewage-associated circular DNA virus-16 isolate SaCV-16_NZ-BS3759-2012, complete genome [Contaminant]	2042		Sewage-associated circular DNA virus-16 Viruses.	Sewage-associated circular DNA virus-16
NC_026260.1	NC_026260.1	Sewage-associated circular DNA virus-18 isolate SaCV-18_NZ-BS3994-2012, complete genome [Contaminant]	2290		Sewage-associated circular DNA virus-18 Viruses.	Sewage-associated circular DNA virus-18
NC_026262.1	NC_026262.1	Sewage-associated circular DNA virus-19 isolate SaCV-19_NZ-BS4128-2012, complete genome [Contaminant]	2478		Sewage-associated circular DNA virus-19 Viruses.	Sewage-associated circular DNA virus-19
NC_026264.1	NC_026264.1	Sewage-associated circular DNA virus-21 isolate SaCV-21_NZ-BS4169-2012, complete genome [Contaminant]	2906		Sewage-associated circular DNA virus-21 Viruses.	Sewage-associated circular DNA virus-21
NC_026270.1	NC_026270.1	Sewage-associated circular DNA virus-26 isolate SaCV-26_NZ-BS4339-2012, complete genome [Contaminant]	3348		Sewage-associated circular DNA virus-26 Viruses.	Sewage-associated circular DNA virus-26
NC_026273.1	NC_026273.1	Sewage-associated circular DNA virus-28 isolate SaCV-28_NZ-BS4064a-2012, complete genome [Contaminant]	2496		Sewage-associated circular DNA virus-28 Viruses.	Sewage-associated circular DNA virus-28
NC_026274.1	NC_026274.1	Sewage-associated circular DNA virus-29 isolate SaCV-29_NZ-BS4325-2012, complete genome [Contaminant]	4037		Sewage-associated circular DNA virus-29 Viruses.	Sewage-associated circular DNA virus-29
NC_026254.1	NC_026254.1	Sewage-associated gemycircularvirus-1 isolate SaGmV-1_NZ-BS3970-2012, complete genome [Contaminant]	2234	Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota;Repensiviricetes;Geplafuvirales;Genomoviridae;Gemycircularvirus	Sewage-associated gemycircularvirus 1	Sewage-associated gemycircularvirus 1
NC_026168.1	NC_026168.1	Sewage-associated gemycircularvirus-3 isolate BS4149, complete sequence [Contaminant]	2130	Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota;Repensiviricetes;Geplafuvirales;Genomoviridae;Gemykibivirus;Gemykibivirus sewopo1	Sewage associated gemycircularvirus 3	Sewage associated gemycircularvirus 3
KJ547640.1	KJ547640.1	Sewage-associated gemycircularvirus-7b isolate BS3972, complete sequence [Contaminant]	2237	Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota;Repensiviricetes;Geplafuvirales;Genomoviridae;Gemycircularvirus;Gemycircularvirus sewopo4	Sewage-associated gemycircularvirus-7b	Sewage-associated gemycircularvirus-7b
NC_028269.1	NC_028269.1	MAG: Yellowstone Lake virophage 5, complete genome [Contaminant]	29767	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae	Yellowstone Lake virophage 5	Yellowstone Lake virophage 5 (Yellowstone Lake water metagenome)
NC_027197.1	NC_027197.1	Phytophthora parasitica virus isolate 1 ORF3, putative replication protein, and putative capsid protein genes, complete cds [Contaminant]	3753		Phytophthora parasitica virus Viruses.	Phytophthora parasitica virus
NC_013116.1	NC_013116.1	Sclerotinia sclerotiorum hypovirulence associated DNA virus 1, complete genome [Contaminant]	2166	Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota;Repensiviricetes;Geplafuvirales;Genomoviridae;Gemycircularvirus;Gemycircularvirus sclero1	Sclerotinia sclerotiorum hypovirulence associated DNA virus 1	Sclerotinia sclerotiorum hypovirulence associated DNA virus 1
KF913885.1	KF913885.1	Sclerotinia sclerotiorum mitovirus 10 RNA-dependent RNA polymerase (gp1) gene, partial cds [Contaminant]	1396	Viruses;Riboviria;Orthornavirae;Lenarviricota;Howeltoviricetes;Cryppavirales;Mitoviridae;Mitovirus	Sclerotinia sclerotiorum mitovirus 10	Sclerotinia sclerotiorum mitovirus 10
NC_023844.1	NC_023844.1	Cassava associated gemycircularvirus 1 isolate G14, complete genome [Contaminant]	2220	Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota;Repensiviricetes;Geplafuvirales;Genomoviridae;Gemycircularvirus;Gemycircularvirus cassa1	Cassava associated gemycircularvirus 1	Cassava associated gemycircularvirus 1
NC_002618.2	NC_002618.2	Cocksfoot mottle virus, complete genome [Contaminant]	4082	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Sobelivirales;Solemoviridae;Sobemovirus	Cocksfoot mottle virus	Cocksfoot mottle virus
NC_001801.1	NC_001801.1	Cucumber green mottle mosaic virus, complete genome [Contaminant]	6424	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Virgaviridae;Tobamovirus	Cucumber green mottle mosaic virus	Cucumber green mottle mosaic virus
NC_003627.1	NC_003627.1	Maize chlorotic mottle virus genomic RNA, isolate KS1 [Contaminant]	4437	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Tolucaviricetes;Tolivirales;Tombusviridae;Procedovirinae;Machlomovirus;Machlomovirus zeae	Maize chlorotic mottle virus	Maize chlorotic mottle virus
NC_001504.1	NC_001504.1	Melon necrotic spot virus, genome [Contaminant]	4266	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Tolucaviricetes;Tolivirales;Tombusviridae;Procedovirinae;Gammacarmovirus;Gammacarmovirus melonis	Melon necrotic spot virus	Melon necrotic spot virus
NC_002792.2	NC_002792.2	Ribgrass mosaic virus, complete genome [Contaminant]	6311	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Virgaviridae;Tobamovirus	Ribgrass mosaic virus	Ribgrass mosaic virus
NC_003487.1	NC_003487.1	Tobacco necrosis virus D, complete genome [Contaminant]	3762	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Tolucaviricetes;Tolivirales;Tombusviridae;Procedovirinae;Betanecrovirus;Betanecrovirus nicotianae	Tobacco necrosis virus D	Tobacco necrosis virus D (TNV-D)
NC_006262.1	NC_006262.1	Watermelon mosaic virus, complete genome [Contaminant]	10035	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Patatavirales;Potyviridae;Potyvirus;Potyvirus citrulli	Watermelon mosaic virus	Watermelon mosaic virus
JF801956.1	JF801956.1	Acanthamoeba castellanii mamavirus strain Hal-V, complete genome [Contaminant]	1191693	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Megamimivirinae;Mimivirus	Acanthamoeba castellanii mamavirus	Acanthamoeba castellanii mamavirus
NC_014649.1	NC_014649.1	Acanthamoeba polyphaga mimivirus, complete genome [Contaminant]	1181549	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Megamimivirinae;Mimivirus;Mimivirus bradfordmassiliense	Acanthamoeba polyphaga mimivirus	Acanthamoeba polyphaga mimivirus
NC_020104.1	NC_020104.1	Acanthamoeba polyphaga moumouvirus, complete genome [Contaminant]	1021348	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Megamimivirinae;Moumouvirus	Acanthamoeba polyphaga moumouvirus	Acanthamoeba polyphaga moumouvirus
NC_014637.1	NC_014637.1	Cafeteria roenbergensis virus BV-PW1, complete genome [Contaminant]	617453	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Aliimimivirinae;Rheavirus;Rheavirus sinusmexicani	Cafeteria roenbergensis virus BV-PW1	Cafeteria roenbergensis virus BV-PW1 (CroV)
KF493731.1	KF493731.1	Hirudovirus strain Sangsue, complete genome [Contaminant]	1181042	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Megamimivirinae;Mimivirus	Hirudovirus strain Sangsue	Hirudovirus strain Sangsue
NC_016072.1	NC_016072.1	Megavirus chiliensis, complete genome [Contaminant]	1259197	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Megamimivirinae;Megavirus;Megavirus chilense	Megavirus chiliensis	Megavirus chiliensis
JX975216.1	JX975216.1	Megavirus courdo11, complete genome [Contaminant]	1246126	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Megamimivirinae;Megavirus;Megavirus chilense	Megavirus courdo11	Megavirus courdo11
JX885207.1	JX885207.1	Megavirus lba isolate LBA111, complete genome [Contaminant]	1230522	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Megamimivirinae;Megavirus;Megavirus chilense	Megavirus lba	Megavirus lba
JQ063154.1	JQ063154.1	Megavirus terra1 D5-ATPase-helicase gene, complete cds [Contaminant]	3131	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Megamimivirinae;Megavirus;Megavirus chilense	Megavirus terra1	Megavirus terra1
NC_023639.1	NC_023639.1	Mimivirus terra2 genome [Contaminant]	1168989	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Megamimivirinae;Mimivirus	Mimivirus terra2	Mimivirus terra2
JF979181.1	JF979181.1	Moumouvirus Monve strain MV13 nonfunctional B-family DNA polymerase gene, complete sequence [Contaminant]	4403	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Megamimivirinae;Moumouvirus	Moumouvirus Monve	Moumouvirus Monve
NC_023423.1	NC_023423.1	Pithovirus sibericum isolate P1084-T, complete genome [Contaminant]	610033	Viruses;Pithoviruses;Pithovirus	Pithovirus sibericum	Pithovirus sibericum
KF959826.2	KF959826.2	Samba virus, complete genome [Contaminant]	1181380	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Megamimivirinae;Mimivirus;Mimivirus bradfordmassiliense	Samba virus	Samba virus
AJ421980.1	AJ421980.1	Agaricus bisporus virus X partial mRNA for putative RNA helicase, band VX6 [Contaminant]	908		Agaricus bisporus virus X Viruses.	Agaricus bisporus virus X
KF510027.1	KF510027.1	Carascovirus SF1 gp1, gp2, and gp3 genes, complete cds [Contaminant]	6137		Carascovirus SF1 Viruses.	Carascovirus SF1
JF781513.1	JF781513.1	Circovirus-like NI/2007 Rep protein gene, partial cds [Contaminant]	220		Circovirus-like NI/2007 Viruses.	Circovirus-like NI/2007
KC248417.1	KC248417.1	Diporeia sp. associated circular virus isolate OL7115 replication-associated protein and hypothetical protein genes, complete cds [Contaminant]	3615		Diporeia sp. associated circular virus Viruses.	Diporeia sp. associated circular virus
KJ003983.1	KJ003983.1	IAS virus, complete genome [Contaminant]	99915	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Steigviridae;Asinivirinae;Paundivirus;Paundivirus hollandii	IAS virus	IAS virus
KF412901.2	KF412901.2	Marine RNA virus SF-2 gp1 and gp2 genes, complete cds [Contaminant]	9321	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Marnaviridae;Locarnavirus;Sanfarnavirus 2	Marine RNA virus SF-2	Marine RNA virus SF-2
JN704610.1	JN704610.1	Meles meles fecal virus isolate VS4700006, complete genome [Contaminant]	2198	Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota;Repensiviricetes;Geplafuvirales;Genomoviridae;Gemygorvirus;Gemygorvirus malas1	Meles meles fecal virus	Meles meles fecal virus
HQ335087.1	HQ335087.1	Mosquito VEM virus SDRBAJ, complete genome [Contaminant]	2212		Mosquito VEM virus SDRBAJ Viruses.	Mosquito VEM virus SDRBAJ
KM598395.1	KM598395.1	Odonata-associated circular virus-12 isolate OdasCV-12-US-1518LM1-12, complete genome [Contaminant]	2617		Odonata-associated circular virus-12 Viruses.	Odonata-associated circular virus-12
KM598396.1	KM598396.1	Odonata-associated circular virus-13 isolate OdasCV-13-US-1591LM1-12, complete genome [Contaminant]	1991		Odonata-associated circular virus-13 Viruses.	Odonata-associated circular virus-13
KM598390.1	KM598390.1	Odonata-associated circular virus-7 isolate OdasCV-7-US-1706LM1-12, complete genome [Contaminant]	2942		Odonata-associated circular virus-7 Viruses.	Odonata-associated circular virus-7
HQ704801.1	HQ704801.1	Organic Lake virophage, complete genome [Contaminant]	26421	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae	Organic Lake virophage	Organic Lake virophage
JF755404.1	JF755404.1	Rodent stool-associated circular genome virus strain RodSCV_V-76, complete genome [Contaminant]	3781	Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Cirlivirales;Vilyaviridae;Glamdringvirus	Rodent stool-associated circular genome virus	Rodent stool-associated circular genome virus
KJ547620.1	KJ547620.1	Sewage-associated circular DNA virus-1 isolate SaCV-1_NZ-BS3349-2012, complete genome [Contaminant]	2777		Sewage-associated circular DNA virus-1 Viruses.	Sewage-associated circular DNA virus-1
KJ547622.1	KJ547622.1	Sewage-associated circular DNA virus-11 isolate SaCV-11_NZ-BS3997-2012, complete genome [Contaminant]	2336		Sewage-associated circular DNA virus-11 Viruses.	Sewage-associated circular DNA virus-11
KJ547624.1	KJ547624.1	Sewage-associated circular DNA virus-13 isolate SaCV-13_NZ-BS4044-2012, complete genome [Contaminant]	3533		Sewage-associated circular DNA virus-13 Viruses.	Sewage-associated circular DNA virus-13
KJ547625.1	KJ547625.1	Sewage-associated circular DNA virus-14 isolate SaCV-14_NZ-BS4064-2012, complete genome [Contaminant]	2335		Sewage-associated circular DNA virus-14 Viruses.	Sewage-associated circular DNA virus-14
KJ547630.1	KJ547630.1	Sewage-associated circular DNA virus-6 isolate SaCV-6_NZ-BS4017-2012, complete genome [Contaminant]	2540		Sewage-associated circular DNA virus-6 Viruses.	Sewage-associated circular DNA virus-6
KJ547631.1	KJ547631.1	Sewage-associated circular DNA virus-7 isolate SaCV-7_NZ-BS3976-2012, complete genome [Contaminant]	2311		Sewage-associated circular DNA virus-7 Viruses.	Sewage-associated circular DNA virus-7
